ip_address cell_id timestamp poi_query_type
34.101.177.245 45 14.912447506427014 cafeteria
34.101.177.245 45 14.912447506427014 restaurant
34.101.177.245 76 18.024657145379827 restaurant
34.101.177.245 76 18.024657145379827 cafeteria
34.101.177.245 45 36.334538864268396 cafeteria
34.101.177.245 45 36.334538864268396 restaurant
34.101.177.245 76 40.5977633878372 dojo
34.101.177.245 76 40.5977633878372 restaurant
34.101.177.245 76 41.97664020685398 dojo
34.101.177.245 76 41.97664020685398 restaurant
34.101.177.245 45 59.359388449373135 cafeteria
34.101.177.245 45 59.359388449373135 restaurant
34.101.177.245 76 66.23929470398043 dojo
34.101.177.245 76 66.23929470398043 restaurant
34.101.177.245 76 66.46910130363834 club
34.101.177.245 76 66.46910130363834 cafeteria
34.101.177.245 45 83.78984190081674 cafeteria
34.101.177.245 45 83.78984190081674 restaurant
34.101.177.245 76 86.79629122046308 restaurant
34.101.177.245 76 86.79629122046308 dojo
34.101.177.245 76 92.65479223216883 dojo
34.101.177.245 76 92.65479223216883 club
34.101.177.245 45 109.21273299041044 cafeteria
34.101.177.245 45 109.21273299041044 restaurant
34.101.177.245 76 114.29981008121825 restaurant
34.101.177.245 76 114.29981008121825 club
34.101.177.245 76 129.43546959845645 cafeteria
34.101.177.245 33 129.43546959845645 club
34.101.177.245 33 129.43546959845645 restaurant
34.101.177.245 48 129.43546959845645 dojo
34.101.177.245 76 153.37088816954616 dojo
34.101.177.245 76 153.37088816954616 cafeteria
34.101.177.245 71 153.37088816954616 club
34.101.177.245 45 180.6123285081031 cafeteria
34.101.177.245 45 180.6123285081031 restaurant
34.101.177.245 76 183.759554033017 dojo
34.101.177.245 76 183.759554033017 club
34.101.177.245 76 187.12996759512114 cafeteria
34.101.177.245 76 187.12996759512114 restaurant
34.101.177.245 45 204.7678736850833 cafeteria
34.101.177.245 45 204.7678736850833 restaurant
34.101.177.245 76 206.40626940614638 dojo
34.101.177.245 76 206.40626940614638 cafeteria
34.101.177.245 76 211.92361391923393 cafeteria
